Protein,BinSanityLC-kmean-bin_93-bin_0-refined_16.proteins
K00134,c_000004435415_30.c_000004444133_37.c_000004444133_39
K00845,c_000002345421_52
K00873,c_000002454775_16
K00927,c_000000125218_17
K01623,c_000000125218_15
K01624,c_000004435415_29.c_000004967955_52
K01689,c_000000125218_26
K01803,c_000000125218_35
K01810,c_000000735240_20
K15633,c_000001957334_7
K01610,c_000001987684_4
K03841,c_000004435415_33
K11532,c_000004899922_94
K00161,c_000000125218_13
K00162,c_000000125218_11
K00382,c_000000677129_4.c_000005712339_26
K00627,c_000000125218_10
K00024,c_000004967955_97
K00031,c_000001449240_7
K00239,c_000004967955_86
K00240,c_000004967955_85
K00241,c_000004967955_88
K00242,c_000004967955_87
K00244,c_000002181411_187
K00245,c_000002181411_184
K00246,c_000002181411_185
K00247,c_000002181411_186
K01647,c_000000365649_7.c_000004444133_64
K01679,c_000002401645_27
K01681,c_000003544774_4
K01682,c_000002295288_26
K01902,c_000004967955_101
K01903,c_000004967955_99
K00033,c_000000647575_22
K00036,c_000000735240_18
K00615,c_000002181411_50.c_000002181411_51.c_000002181411_53.c_000004435415_31.c_000004444133_40
K00616,c_000001942209_48
K01057,c_000000735240_19
K01783,c_000002454775_1.c_000004435415_24.c_000006003901_1
K01807,c_000004899922_42
K00948,c_000002138326_19
K01625,c_000005899904_10
K01690,c_000005899904_11
K00874,c_000002181411_27
K00012,c_000003989100_173
K00854,c_000000125218_43.c_000002345421_65
K01685,c_000002181411_40
K01784,c_000001341879_5.c_000002442779_61.c_000004435415_4
K01785,c_000002714103_90
K00883,c_000000647575_18.c_000003505141_91
K01631,c_000003505141_90
K01684,c_000002181411_169
K00963,c_000002442779_62
K10046,c_000003505141_135
K03077,c_000003093506_105
K15778,c_000003093506_116
K00820,c_000006283225_43
K04042,c_000006283225_42
K01638,c_000003989100_21
K00023,c_000002454775_49
K00626,c_000002181411_152.c_000002295288_19.c_000002345866_57.c_000002454775_48.c_000003544774_29
K01847,c_000000647575_52
K01965,c_000000647575_55
K01966,c_000000647575_63
K05606,c_000002181411_104
K08691,c_000002454775_29
K14446,c_000002010879_26
K14447,c_000002010879_22
K14448,c_000001987684_2
K14449,c_000004967955_91
K14451,c_000004967955_94
K17865,c_000002138326_12
K00261,c_000004899922_86
K00281,c_000002181411_88
K00600,c_000000647575_34.c_000002181411_130
K00605,c_000002181411_90
K00830,c_000001942209_56.c_000003989100_18
K01601,c_000004435415_28
K01602,c_000004435415_27
K02437,c_000002181411_89
K00140,c_000004444133_31
K01092,c_000002177916_39.c_000002747260_12.c_000003505141_134
K00855,c_000004435415_32
K00029,c_000002181411_137
K01006,c_000000647575_116
K01007,c_000002181411_86.c_000002580807_14
K01958,c_000004967955_36
K01961,c_000000647575_96
K01962,c_000002454775_31
K01963,c_000005835655_14
K02160,c_000000647575_95
K09709,c_000001987684_59
K00297,c_000003505141_138.c_000006347615_11
K01491,c_000002177916_51
K01938,c_000001615714_28
K00625,c_000000365649_6
K00925,c_000000365649_5
K01895,c_000002177916_2.c_000002295288_36
K14083,c_000000125218_78.c_000001231607_12.c_000002401645_21.c_000003093506_6.c_000005041642_23.c_000006328939_8
K06034,c_000002714103_88
K13039,c_000002714103_87
K11529,c_000000677129_10
K11212,c_000003093506_37
K11780,c_000003093506_35
K12234,c_000003093506_39
K14941,c_000003093506_38
K00366,c_000004899922_17
K00372,c_000003093506_98
K00362,c_000003093506_97
K00370,c_000003093506_11
K00371,c_000003093506_12
K00374,c_000003093506_14
K00368,c_000004444133_63
K00376,c_000002580807_42
K02305,c_000002580807_33
K04561,c_000002580807_34
K00380,c_000002085873_1.c_000004899922_18
K00381,c_000004444133_20
K00390,c_000004444133_19
K00958,c_000002345866_10
K17222,c_000005712339_72
K17223,c_000005712339_75
K17224,c_000005712339_71
K17225,c_000005712339_70
K17226,c_000000365649_35.c_000005712339_74
K17227,c_000005712339_73
K22622,c_000005712339_69
K00330,c_000006283225_25
K00331,c_000006283225_24
K00332,c_000006283225_23
K00333,c_000006283225_19
K00334,c_000006283225_18
K00335,c_000006283225_15
K00336,c_000006283225_11
K00337,c_000006283225_9
K00338,c_000006283225_8
K00339,c_000006283225_5
K00340,c_000006283225_2
K00341,c_000004857205_88.c_000006283225_1
K00342,c_000004857205_87
K00343,c_000004857205_86
K03878,c_000003505141_128
K00411,c_000002442779_86
K00412,c_000002442779_85
K00413,c_000002442779_84
K02257,c_000005041642_12
K02258,c_000005041642_14
K02259,c_000002401645_17
K02274,c_000004967955_69
K02275,c_000005041642_11
K02276,c_000005041642_15
K02297,c_000006328939_19
K02298,c_000006328939_18
K02299,c_000006328939_17
K02300,c_000006328939_16
K00404,c_000002010879_8
K00405,c_000002010879_9
K00406,c_000002010879_11
K00407,c_000002010879_10
K02108,c_000002714103_20
K02109,c_000002714103_17.c_000002714103_18
K02110,c_000002714103_19
K02111,c_000002138326_24
K02112,c_000002138326_22
K02113,c_000002138326_25
K02114,c_000002138326_21
K02115,c_000002138326_23
K00645,c_000002445708_18
K00648,c_000001231607_21
K00059,c_000000647575_48.c_000002445708_17.c_000004857205_74
K00208,c_000003505141_72.c_000004444133_79
K00647,c_000003505141_71
K01716,c_000003505141_70
K09458,c_000002445708_14
K01897,c_000006008357_23
K00249,c_000000494493_3.c_000000958010_12.c_000002010879_93.c_000002181411_154
K00632,c_000000423647_2.c_000003989100_254
K01692,c_000004444133_26
K01782,c_000002181411_150
K07516,c_000003989100_253
K01796,c_000002747260_38
K00019,c_000002295288_21.c_000002345421_12
K01640,c_000006283225_29
K00655,c_000002345421_32.c_000002454775_34
K00570,c_000002442779_36.c_000002776452_27
K00981,c_000002345421_57
K01613,c_000000865556_4.c_000002442779_38
K17103,c_000002442779_37
K04708,c_000002345421_56
K04712,c_000002345421_63
K00602,c_000006008357_5
K00764,c_000004857205_46
K01588,c_000002345866_3
K01589,c_000002345866_2
K01756,c_000003544774_10
K01923,c_000000522998_25
K01933,c_000000522998_38
K01945,c_000004899922_11
K11175,c_000000522998_37
K23264,c_000000522998_23
K23265,c_000000522998_20
K23269,c_000004444133_46
K00939,c_000000803237_35.c_000002177916_1
K01939,c_000004899922_54
K00088,c_000003548038_8
K01951,c_000000365649_16
K07127,c_000003989100_11
K13481,c_000002138326_53
K13482,c_000002138326_54
K00254,c_000002181411_164
K00609,c_000002010879_83
K00762,c_000004857205_31
K01465,c_000002010879_74.c_000004857205_30
K01591,c_000000902427_2.c_000001537121_3
K01955,c_000002181411_96
K01956,c_000000647575_105
K01937,c_000004899922_58
K00525,c_000001135711_32.c_000002138326_43.c_000004444133_84
K00526,c_000001135711_31
K00943,c_000001119976_3
K01494,c_000004857205_2
K01520,c_000002580807_25
K01464,c_000003093506_46
K06016,c_000003093506_44
K00058,c_000002580807_56.c_000003989100_87
K00831,c_000003989100_88
K01079,c_000003989100_89
K00003,c_000004899922_93
K00133,c_000003989100_242
K00928,c_000001119976_88
K01733,c_000005041642_17
K00108,c_000000647575_71.c_000003989100_239
K00130,c_000004899922_59
K15783,c_000002181411_173
K15785,c_000003989100_63
K00640,c_000000125218_9
K01738,c_000000522998_4.c_000000647575_68.c_000002141917_16
K00789,c_000005093588_9
K00548,c_000000522998_28.c_000006347615_10
K00549,c_000003093506_78
K14155,c_000001987684_30.c_000002714103_25
K00772,c_000001106368_4.c_000001119976_80
K08963,c_000002141917_28
K00558,c_000003093506_120.c_000005136999_1
K01251,c_000002747260_53
K00053,c_000005816355_18
K00826,c_000002177916_67.c_000002442779_39.c_000002580807_62
K01652,c_000000365649_29.c_000001987684_56.c_000002141917_31.c_000002295288_33.c_000004444133_87
K01653,c_000004444133_86
K01687,c_000005835655_11
K00052,c_000005813842_3.c_000006328939_12
K01703,c_000005813842_9
K01704,c_000005813842_7
K01754,c_000000365649_52.c_000001119976_66.c_000001119976_89.c_000006328939_46
K01649,c_000001231607_3.c_000002714103_3
K00166,c_000000677129_7
K00167,c_000000677129_6
K00253,c_000006283225_38
K01968,c_000006283225_32
K01969,c_000006283225_33
K09699,c_000000677129_5
K13766,c_000006283225_28
K00215,c_000002345866_76.c_000006008357_1
K00674,c_000000365649_51
K00821,c_000000647575_25
K01439,c_000000365649_42.c_000004395495_39
K01586,c_000002454775_39
K01714,c_000001987684_64.c_000003093506_3.c_000003093506_47.c_000003505141_92
K01778,c_000002442779_91
K14267,c_000002345866_47
K00290,c_000006008357_19
K00252,c_000004444133_6
K00145,c_000004444133_52
K00620,c_000003989100_48
K00930,c_000002181411_14
K01438,c_000003989100_28.c_000006283225_52
K00611,c_000000647575_24
K01755,c_000002454775_42
K01940,c_000003989100_128
K00147,c_000002401645_10
K00286,c_000002138326_83.c_000002177916_22.c_000002747260_1
K00931,c_000002401645_9
K00613,c_000003989100_151
K01480,c_000003548038_5.c_000005041642_53.c_000006347615_8
K01581,c_000001942209_12
K00128,c_000002442779_14.c_000002714103_51.c_000004967955_75
K09471,c_000004899922_72
K09472,c_000000125218_63.c_000003093506_4.c_000003989100_32
K00013,c_000002714103_95
K00765,c_000002138326_46
K00817,c_000002138326_38.c_000004899922_47
K01496,c_000002181411_65
K01523,c_000003366413_3
K01693,c_000003366413_11
K01814,c_000002445708_15.c_000003366413_7
K02500,c_000003366413_4
K02501,c_000003366413_10
K02502,c_000002138326_47
K18649,c_000003505141_84
K00014,c_000003989100_111
K00800,c_000005093588_2
K01736,c_000002442779_80
K03786,c_000006003901_2
K00766,c_000004444133_71
K01609,c_000004444133_70
K01657,c_000004444133_74
K01658,c_000004444133_72
K01695,c_000000647575_11
K01696,c_000005041642_43
K01817,c_000005041642_40
K06001,c_000002141917_24
K04092,c_000002714103_37
K04518,c_000000677129_56
K00220,c_000002138326_37
K01593,c_000001231607_11
K00451,c_000003989100_79
K01555,c_000003989100_81
K00151,c_000004857205_53
K01826,c_000004857205_54
K01432,c_000004395495_59
K01556,c_000000041941_10
K00135,c_000003093506_66
K00823,c_000003093506_56
K01919,c_000002010879_68
K01920,c_000002580807_49
K00912,c_000002747260_14
K02517,c_000003544774_6
K02527,c_000002747260_13.c_000005041642_20
K02535,c_000004967955_3
K02536,c_000002850575_10
K00979,c_000002442779_64
K06041,c_000002442779_50
K00788,c_000002401645_14.c_000003505141_11
K00941,c_000003505141_15
K03149,c_000003505141_12
K03154,c_000003505141_13
K03153,c_000001987684_60.c_000003505141_14
K00949,c_000004899922_51
K00793,c_000000647575_1
K00794,c_000005093588_22
K01497,c_000002345866_32
K11752,c_000000647575_5
K11753,c_000002138326_13
K14652,c_000005093588_23
K00097,c_000000125218_50
K00275,c_000004444133_80.c_000005712339_81
K03474,c_000000865556_19
K00969,c_000002776452_9
K01916,c_000002714103_1
K01799,c_000001449240_55
K00606,c_000004395495_37
K01918,c_000004395495_38
K00859,c_000003989100_110
K00954,c_000004444133_35
K03525,c_000004857205_84
K13038,c_000002580807_26
K00652,c_000002345421_53
K03644,c_000003548038_3
K03801,c_000004967955_66
K00950,c_000000865556_15
K09007,c_000005816355_11
K11754,c_000005835655_15
K03635,c_000002010879_59
K03637,c_000004444133_69
K03638,c_000002010879_87
K03639,c_000006283225_46
K03750,c_000002850575_13.c_000004444133_68
K01719,c_000002747260_45
K01749,c_000002010879_3
K01845,c_000002714103_62
K02302,c_000003093506_100.c_000004444133_22
K02303,c_000004444133_90
K00228,c_000000677129_67
K00643,c_000005712339_46
K01599,c_000002010879_2
K01772,c_000003989100_141
K01885,c_000002295288_5.c_000004444133_65
K02495,c_000002010879_5
K08973,c_000003989100_113
K00595,c_000001987684_36
K02188,c_000004444133_91
K02224,c_000004444133_89
K03394,c_000001987684_35
K03795,c_000000125218_96
K05895,c_000004444133_92
K05936,c_000001987684_33
K06042,c_000001987684_37
K13541,c_000001987684_34
K02230,c_000001987684_51
K09882,c_000002014807_7
K09883,c_000002014807_9
K00768,c_000006003901_14
K00798,c_000001987684_20
K02225,c_000001987684_42
K02226,c_000002580807_29
K02227,c_000001987684_43
K02231,c_000002580807_28
K02232,c_000001942209_4
K02233,c_000006003901_13
K19221,c_000001987684_55
K00568,c_000003989100_61
K03179,c_000002010879_64
K03183,c_000003989100_198
K03185,c_000000647575_109.c_000002345866_45
K02548,c_000003989100_149
K01823,c_000001987684_16
K00054,c_000002454775_45
K00919,c_000002454775_58
K01662,c_000002177916_60
K03526,c_000005712339_44
K03527,c_000000865556_11
K12506,c_000001449240_40
K00795,c_000002177916_61
K02291,c_000001231607_1
K21162,c_000000125218_38
K00067,c_000003765060_9
K00973,c_000002714103_91.c_000003765060_8
K02078,c_000002345421_33.c_000002445708_16.c_000002850575_9
K09459,c_000000958010_15
K23999,c_000000958010_16
K06998,c_000002345866_7
K20940,c_000002181411_79
K01055,c_000001094287_3.c_000001119976_71
K01856,c_000002141917_33
K00446,c_000004857205_52
K02554,c_000000647575_12
K00074,c_000001987684_14
K01912,c_000000423647_1.c_000002442779_9.c_000006008357_31
K02609,c_000002442779_4
K02610,c_000002442779_5
K02611,c_000002442779_6
K02612,c_000002442779_7
K02613,c_000002442779_8
K02618,c_000000423647_4.c_000002442779_11
K15866,c_000004444133_59
K00529,c_000001987684_92
K05712,c_000003989100_84
K12340,c_000001942209_2
K14205,c_000000522998_27
K02575,c_000003093506_9.c_000003093506_10
K15576,c_000003093506_94
K15577,c_000003093506_95
K15578,c_000003093506_96
